Timestamp,Input Throttle,horizon,dT,dt,Input Roll,Roll P,Roll I,Roll D,Input Pitch,Pitch P,Pitch I,Pitch D,Input Yaw,Yaw P,Yaw I,Yaw D,Altitude,Direction X,Direction Y,Direction Z,Vertical Velocity,Roll,Mass
1594013245.076868,0.0,5.0,0.5,0.5,0.0197130126953125,-0.004,-0.0002,-0.006,0.0008439070173079834,2.0,0.5,10.0,0.0245077142278787,-2.0,-0.5,-10.0,478.4750827923417,-0.011741100939397404,0.0004137308431573758,0.9999309853062462,-14.239950745454486,-89.92276000976562,6440.1796875
1594013245.1532826,0.0,5.0,0.5,0.5,0.019812383422851566,-0.004,-0.0002,-0.006,0.0008546881625831782,2.0,0.5,10.0,0.024599709584710503,-2.0,-0.5,-10.0,477.58274993440136,-0.01178530532764289,0.00041427583766658895,0.9999304650593783,-14.823334429800747,-89.925048828125,6440.1796875
1594013245.1876268,0.0,5.0,0.5,0.5,0.019898372192382812,-0.004,-0.0002,-0.006,0.0008744360962249829,2.0,0.5,10.0,0.025169477166644527,-2.0,-0.5,-10.0,476.6762157744961,-0.011820517510810117,0.0004146495115708062,0.9999300492692272,-14.79851986863374,-89.9251708984375,6438.69287109375
1594013245.2255237,0.0,5.0,0.5,0.5,0.019945789184570312,-0.004,-0.0002,-0.006,0.0008924540316721808,2.0,0.5,10.0,0.02564808241791639,-2.0,-0.5,-10.0,476.1247187642148,-0.011840492611427087,0.00041473469481337534,0.9999298129018114,-13.970796162063136,-89.92013549804688,6435.71875
1594013245.2644205,0.0,5.0,0.5,0.5,0.0199773583984375,-0.004,-0.0002,-0.006,0.000913005032480088,2.0,0.5,10.0,0.026210602173539526,-2.0,-0.5,-10.0,475.58754427940585,-0.011854679789028877,0.0004147902030211195,0.9999296447831653,-13.107398709329175,-89.91043090820312,6432.658203125
1594013245.301548,0.0,5.0,0.5,0.5,0.019989141235351563,-0.004,-0.0002,-0.006,0.000930996042849098,2.0,0.5,10.0,0.026746785167782377,-2.0,-0.5,-10.0,475.0934936789563,-0.011861789854096319,0.0004146074182124025,0.9999295605402142,-12.238939972739555,-89.89596557617188,6429.5869140625
1594013245.3374527,0.0,5.0,0.5,0.5,0.0199809814453125,-0.004,-0.0002,-0.006,0.0009489483744592335,2.0,0.5,10.0,0.0272717480146795,-2.0,-0.5,-10.0,474.62514380540233,-0.011862037687835213,0.00041422359426343124,0.9999295577592986,-11.404122868460563,-89.87667846679688,6426.59912109375
1594013245.376348,0.0,5.0,0.5,0.5,0.019953453979492185,-0.004,-0.0002,-0.006,0.0009645127331516413,2.0,0.5,10.0,0.027768517341735327,-2.0,-0.5,-10.0,474.18280193570536,-0.01185421650283963,0.00041347483922089156,0.999929650820327,-10.60481755473743,-89.85260009765625,6423.69921875
1594013245.4531434,0.0,5.0,0.5,0.5,0.019905669555664064,-0.004,-0.0002,-0.006,0.0009824359967381532,2.0,0.5,10.0,0.028252367663426942,-2.0,-0.5,-10.0,473.7839804549003,-0.01183862714005578,0.0004126216701542308,0.9999298358638951,-9.8415079558453,-89.82366943359375,6420.8876953125
1594013245.4880493,0.0,5.0,0.5,0.5,0.019650824584960938,-0.004,-0.0002,-0.006,0.0009868605663757956,2.0,0.5,10.0,0.028538585550876527,-2.0,-0.5,-10.0,473.24579429184087,-0.011800159881939805,0.0004105601531095077,0.9999302914039165,-8.765272368374701,-89.77117919921875,6416.84033203125
