Timestamp,Input Throttle,horizon,dT,dt,Input Roll,Roll P,Roll I,Roll D,Input Pitch,Pitch P,Pitch I,Pitch D,Input Yaw,Yaw P,Yaw I,Yaw D,Altitude,Direction X,Direction Y,Direction Z,Vertical Velocity,Roll,Mass
1594108234.7382436,0.0,5.0,0.5,0.5,-0.00018914794921875,-0.004,-0.0001,-0.026,0.0008814038089750491,2.0,0.2,20.0,0.02593824306962915,-2.0,-0.2,-20.0,477.7668013887014,-0.011770321027171644,0.0004152800840193791,0.9999306411373586,-14.628883614373464,-89.92355346679688,6440.1796875
1594108234.7801313,0.0,5.0,0.5,0.5,-0.0002333084106445313,-0.004,-0.0001,-0.026,0.0008575102573480984,2.0,0.2,20.0,0.02478685488422124,-2.0,-0.2,-20.0,476.8534725890495,-0.011816266773050485,0.00041612756072978603,0.9999300988956186,-15.21221278217061,-89.92599487304688,6440.1796875
1594108234.8190284,0.0,5.0,0.5,0.5,-0.00024259338378906256,-0.004,-0.0001,-0.026,0.0008664306982505814,2.0,0.2,20.0,0.02469512519250365,-2.0,-0.2,-20.0,476.26607121760026,-0.01184312404079586,0.0004169251709068781,0.999929780827812,-15.601052216017253,-89.92782592773438,6440.1796875
1594108234.8659146,0.0,5.0,0.5,0.5,-0.00023049774169921875,-0.004,-0.0001,-0.026,0.000851758991074277,2.0,0.2,20.0,0.024856247879138694,-2.0,-0.2,-20.0,475.69329632865265,-0.011864097020828888,0.0004166043524044872,0.9999295323385011,-14.750331616266864,-89.92984008789062,6437.14892578125
1594108234.9337335,0.0,5.0,0.5,0.5,-0.00018194396972656256,-0.004,-0.0001,-0.026,0.0008814315679954944,2.0,0.2,20.0,0.025243686405025077,-2.0,-0.2,-20.0,474.8453692679759,-0.011889988665652995,0.0004172827214874558,0.9999292245177459,-13.415869528209708,-89.9332275390625,6432.4619140625
1594108234.9806051,0.0,5.0,0.5,0.5,-0.00019652770996093753,-0.004,-0.0001,-0.026,0.0008723722325737465,2.0,0.2,20.0,0.02514863493929637,-2.0,-0.2,-20.0,474.322151542292,-0.011898396922809376,0.00041710828475145014,0.99992912457401,-12.526965334944176,-89.93569946289062,6429.3408203125
1594108235.0214953,0.0,5.0,0.5,0.5,-0.00018178985595703124,-0.004,-0.0001,-0.026,0.0008764510746731493,2.0,0.2,20.0,0.02525076957493397,-2.0,-0.2,-20.0,473.8632967744488,-0.011899866551914332,0.00041675591846437106,0.9999291072323834,-11.652571576697506,-89.9383544921875,6426.2568359375
1594108235.0643806,0.0,5.0,0.5,0.5,-0.00016720855712890623,-0.004,-0.0001,-0.026,0.0008889209208594982,2.0,0.2,20.0,0.02532884091451401,-2.0,-0.2,-20.0,473.40402689098846,-0.011893933215125281,0.00041662352764962015,0.9999291778808689,-10.833078538479677,-89.941162109375,6423.3076171875
1594108235.1182382,0.0,5.0,0.5,0.5,-0.00015290435791015625,-0.004,-0.0001,-0.026,0.0008773464439200624,2.0,0.2,20.0,0.02539927890268327,-2.0,-0.2,-20.0,473.00929527473636,-0.011880928332765541,0.0004155983111138271,0.9999293329130792,-10.050345959450956,-89.944091796875,6420.44873046875
1594108235.1651118,0.0,5.0,0.5,0.5,-0.00013899810791015627,-0.004,-0.0001,-0.026,0.0008847550967064426,2.0,0.2,20.0,0.02544551499220056,-2.0,-0.2,-20.0,472.6146234915359,-0.011860406508932232,0.00041462523637965636,0.9999295769419745,-9.30424644451196,-89.94711303710938,6417.6806640625
1594108235.2159767,0.0,5.0,0.5,0.5,-0.0001237799072265625,-0.004,-0.0001,-0.026,0.0008873151828337851,2.0,0.2,20.0,0.02547849706749536,-2.0,-0.2,-20.0,472.2845645607449,-0.011832467302952685,0.0004134800585031261,0.999929908419468,-8.592256929291601,-89.95025634765625,6414.9970703125
1594108235.2997854,0.0,5.0,0.5,0.5,-5.9670104980468765e-05,-0.004,-0.0001,-0.026,0.0008571286817258034,2.0,0.2,20.0,0.02480215207142414,-2.0,-0.2,-20.0,471.81752639974,-0.01177626857380824,0.0004110685104063869,0.999930572850514,-7.589298690280228,-89.95510864257812,6411.13134765625
1594108235.3741934,0.0,5.0,0.5,0.5,1.770843505859371e-05,-0.004,-0.0001,-0.026,0.000815545594749176,2.0,0.2,20.0,0.023693790982728433,-2.0,-0.2,-20.0,471.2257870695321,-0.011674835132553706,0.00040699065277434405,0.9999317639635398,-6.3389178146316585,-89.96188354492188,6406.19140625
1594108235.41708,0.0,5.0,0.5,0.5,-1.5432739257812637e-06,-0.004,-0.0001,-0.026,0.0008041404972801492,2.0,0.2,20.0,0.023599735084955057,-2.0,-0.2,-20.0,470.8878628910752,-0.011578500635067377,0.000402774127331288,0.9999328857958648,-5.433223362204732,-89.96710205078125,6402.5673828125
1594108235.5687106,0.0,5.0,0.5,0.5,-3.0650634765625004e-05,-0.004,-0.0001,-0.026,0.0008235082807985832,2.0,0.2,20.0,0.023903230033353495,-2.0,-0.2,-20.0,470.68686082132626,-0.011504978677175882,0.0003998338491112324,0.9999337356037803,-4.8577313648576315,-89.97064208984375,6400.22119140625
1594108235.6085663,0.0,5.0,0.5,0.5,-1.6116333007812494e-05,-0.004,-0.0001,-0.026,0.0008180604504306188,2.0,0.2,20.0,0.023588811858950266,-2.0,-0.2,-20.0,470.50818928075023,-0.011424198807518446,0.00039692910286934365,0.9999346629299805,-4.335583043964665,-89.97418212890625,6398.0048828125
