Timestamp,Input Throttle,horizon,dT,dt,Input Roll,Roll P,Roll I,Roll D,Input Pitch,Pitch P,Pitch I,Pitch D,Input Yaw,Yaw P,Yaw I,Yaw D,Altitude,Direction X,Direction Y,Direction Z,Drag X,Drag Y,Drag Z,Vertical Velocity,Roll,Mass
1598100565.5912018,0.0,10.0,0.5,0.5,-0.18016540527343752,-0.14,-0.011,-0.56,-0.013068839343277554,10.0,1.0,100.0,0.17622065293400455,-10.0,-1.0,-100.0,19912.91353033879,-0.013652612981829614,-0.0009432225743551921,0.999906353860172,35.542653398693496,1.9781880233980955,134.5060397232492,-61.59157983929188,-88.69479370117188,4892.3046875
1598100565.6569443,0.0,10.0,0.5,0.5,-0.18170794372558596,-0.14,-0.011,-0.56,-0.011671774227768977,10.0,1.0,100.0,0.16091220140180085,-10.0,-1.0,-100.0,19907.94970480271,-0.013861893075332539,-0.0009627246309622969,0.9999034558804429,35.7854216880442,1.992150718020665,137.07870589786924,-62.32155239675978,-88.69830322265625,4892.3046875
1598100565.692972,0.0,10.0,0.5,0.5,-0.16513138732910157,-0.14,-0.011,-0.56,-0.010072130902890325,10.0,1.0,100.0,0.14474493617033438,-10.0,-1.0,-100.0,19905.44589301548,-0.013892570846344291,-0.0009650363570780752,0.9999030278882592,35.908977167336836,1.9992572774418151,138.382421126074,-62.68652625602709,-88.72683715820312,4892.3046875
1598100565.7098932,0.0,10.0,0.5,0.5,-0.12863513793945314,-0.14,-0.011,-0.56,-0.010142583885931217,10.0,1.0,100.0,0.14557266637184113,-10.0,-1.0,-100.0,19902.927482769242,-0.013915354939235633,-0.0009669011021590834,0.9999027092668435,36.040524190106545,2.006813574005765,139.72323408458584,-63.05149136869322,-88.80380249023438,4892.3046875
1598100565.7645273,0.0,10.0,0.5,0.5,-0.08318032531738281,-0.14,-0.011,-0.56,-0.009820069147251274,10.0,1.0,100.0,0.14231549496441856,-10.0,-1.0,-100.0,19900.394474196015,-0.013893806779124615,-0.0009647853717882196,0.9999030109577483,36.18153131573713,2.0149041009850825,141.10743084646305,-63.41644748548798,-88.93218994140625,4892.3046875
1598100565.7966104,0.0,10.0,0.5,0.5,-0.03329046325683595,-0.14,-0.011,-0.56,-0.009408466142320644,10.0,1.0,100.0,0.13791629976763012,-10.0,-1.0,-100.0,19897.846867708024,-0.013821594125617318,-0.0009582430574318938,0.999904018046767,36.331763884132556,2.0235185815675223,142.5347504481893,-63.78139412623896,-89.10784912109375,4892.3046875
1598100565.858401,0.0,10.0,0.5,0.5,0.01666017761230469,-0.14,-0.011,-0.56,-0.008946205930260359,10.0,1.0,100.0,0.13322621053627232,-10.0,-1.0,-100.0,19895.284663806786,-0.013700743998393234,-0.0009472220033097478,0.9999056917451601,36.48943792243111,2.032560142370248,143.9987950498189,-64.14633071214215,-89.32113647460938,4892.3046875
1598100565.8914568,0.0,10.0,0.5,0.5,0.063269384765625,-0.14,-0.011,-0.56,-0.008580199403162733,10.0,1.0,100.0,0.1283477985993331,-10.0,-1.0,-100.0,19892.707862318028,-0.013534075825127898,-0.0009330144202220824,0.9999079749035164,36.6516109358163,2.0418668331732603,145.48840697148327,-64.51125699001388,-89.55941772460938,4892.3046875
1598100565.9237893,0.0,10.0,0.5,0.5,0.10372773742675784,-0.14,-0.011,-0.56,-0.008147366832894269,10.0,1.0,100.0,0.12315694931279222,-10.0,-1.0,-100.0,19890.116464474006,-0.013323066059713468,-0.0009153153991215623,0.999910825078161,36.814827704616654,2.0512473220213243,146.9901056088907,-64.87617295036448,-89.80853271484375,4892.3046875
1598100565.9654994,0.0,10.0,0.5,0.5,0.13597394104003907,-0.14,-0.011,-0.56,-0.007749108584350366,10.0,1.0,100.0,0.11765928653038478,-10.0,-1.0,-100.0,19887.510470022797,-0.013069148369442361,-0.0008947727454987616,0.9999141946900401,36.97553729627547,2.060504126278633,148.4897056893023,-65.24107811759121,-90.05419158935547,4892.3046875
1598100565.996844,0.0,10.0,0.5,0.5,0.15855903396606447,-0.14,-0.011,-0.56,-0.007363050567576417,10.0,1.0,100.0,0.11189616755733858,-10.0,-1.0,-100.0,19884.8898798835,-0.01277404107092326,-0.0008717745577387263,0.9999180285822629,37.130381031678205,2.0694496254279504,149.973469551016,-65.6059728466037,-90.28289794921875,4892.3046875
1598100566.0579264,0.0,10.0,0.5,0.5,0.17223359146118167,-0.14,-0.011,-0.56,-0.00687504676512395,10.0,1.0,100.0,0.10452834846175432,-10.0,-1.0,-100.0,19882.254694126314,-0.012439580236774135,-0.0008464956688587776,0.9999222671231077,37.27641886915304,2.0779187824236605,151.42904871570084,-65.9708571002635,-90.48290252685547,4892.3046875
1598100566.0778372,0.0,10.0,0.5,0.5,0.17546236724853517,-0.14,-0.011,-0.56,-0.0063655010469127506,10.0,1.0,100.0,0.09697384273616139,-10.0,-1.0,-100.0,19879.604913410847,-0.012068140619895503,-0.0008189882896769983,0.9999268419440293,37.41124024602614,2.085775400182533,152.84598417232365,-66.33573120704374,-90.64471435546875,4892.3046875
1598100566.1257463,0.0,10.0,0.5,0.5,0.168726969909668,-0.14,-0.011,-0.56,-0.005913079346255071,10.0,1.0,100.0,0.08923860400163033,-10.0,-1.0,-100.0,19876.940538177383,-0.011661806461715963,-0.0007900014277488574,0.999931686750547,37.53310717070854,2.092920273526521,154.21635573794617,-66.70059541344469,-90.76152801513672,4892.3046875
