Timestamp,Input Throttle,horizon,dT,dt,Input Roll,Roll P,Roll I,Roll D,Input Pitch,Pitch P,Pitch I,Pitch D,Input Yaw,Yaw P,Yaw I,Yaw D,Altitude,Direction X,Direction Y,Direction Z,Drag X,Drag Y,Drag Z,Vertical Velocity,Roll,Mass
1598614429.0830898,0.0,10.0,0.5,0.5,0.0184014892578125,-0.14,-0.011,-0.56,0.005924802890616839,10.0,1.0,100.0,0.19093447896085997,-10.0,-1.0,-100.0,468.19501275755465,-0.012316953352249362,0.0004281995103173159,0.9999240517685819,7.24449226872488,-0.6002709117157004,215.62400619464827,-20.069826697788347,-89.96188354492188,6440.1796875
1598614429.15398,0.0,10.0,0.5,0.5,-0.0006144378662109374,-0.14,-0.011,-0.56,0.004393588607945318,10.0,1.0,100.0,0.12722184045244295,-10.0,-1.0,-100.0,466.5379645162029,-0.012342595275837765,0.0004288247244422289,0.9999237353174555,7.492093500617219,-0.6216735951564181,231.46276199602497,-20.807646143815614,-89.96868896484375,6440.0849609375
1598614429.1880403,0.0,10.0,0.5,0.5,-0.004609451293945312,-0.14,-0.011,-0.56,0.004337713039928253,10.0,1.0,100.0,0.12420976427073221,-10.0,-1.0,-100.0,466.11791708052624,-0.01232730306356091,0.0004284953005515926,0.9999239241017072,7.551796006035767,-0.6267486656787177,235.19565309049153,-20.975937789408942,-89.96847534179688,6440.02197265625
1598614429.2199595,0.0,10.0,0.5,0.5,-0.006511193847656251,-0.14,-0.011,-0.56,0.0042476549273661535,10.0,1.0,100.0,0.12123357009769645,-10.0,-1.0,-100.0,465.2775445977459,-0.012275138102587478,0.00042698757299085727,0.9999245664879801,7.666798690811791,-0.636414627051621,242.3079232741413,-21.293127261704818,-89.96563720703125,6439.8486328125
1598614429.2558446,0.0,10.0,0.5,0.5,-0.006903607177734376,-0.14,-0.011,-0.56,0.004122133472230807,10.0,1.0,100.0,0.11709350984277372,-10.0,-1.0,-100.0,464.4169675508747,-0.012178919282928163,0.00042408763691351213,0.999925744280432,7.7760739244353845,-0.6454430485449344,248.92978313664287,-21.58445978845309,-89.96286010742188,6439.611328125
1598614429.2678156,0.0,10.0,0.5,0.5,-0.005987429809570313,-0.14,-0.011,-0.56,0.004221710828498997,10.0,1.0,100.0,0.12067152085283137,-10.0,-1.0,-100.0,463.9729602448642,-0.012112903256708467,0.0004219710458666242,0.9999265470598978,7.828628723115858,-0.6497229376836388,252.0510217852129,-21.72042999342288,-89.96200561523438,6439.46923828125
1598614429.2964087,0.0,10.0,0.5,0.5,-0.005849780273437501,-0.14,-0.011,-0.56,0.004207550408624371,10.0,1.0,100.0,0.12009451503594334,-10.0,-1.0,-100.0,463.53258389257826,-0.012036631449758207,0.0004195345310561689,0.9999274691166954,7.879779416045415,-0.6538452525122691,255.0416093147687,-21.84993629226196,-89.96157836914062,6439.3115234375
1598614429.3213153,0.0,10.0,0.5,0.5,-0.005588699340820312,-0.14,-0.011,-0.56,0.004180066148405892,10.0,1.0,100.0,0.11954994443771576,-10.0,-1.0,-100.0,463.1124706789851,-0.011951400409410668,0.00041668826565280864,0.9999284926429205,7.929529229794633,-0.6578104336061158,257.8992236685277,-21.97297873837062,-89.961669921875,6439.1376953125
1598614429.3540652,0.0,10.0,0.5,0.5,-0.004635379028320313,-0.14,-0.011,-0.56,0.003786816409135683,10.0,1.0,100.0,0.10718062515170998,-10.0,-1.0,-100.0,462.22796149610076,-0.011750604378849751,0.00041014694650579487,0.9999308751489845,8.024777280403837,-0.6652670936181034,263.205500621785,-22.19967207363006,-89.96316528320312,6438.7431640625
1598614429.3910108,0.0,10.0,0.5,0.5,-0.004509271240234375,-0.14,-0.011,-0.56,0.00407631934649289,10.0,1.0,100.0,0.1158398011537621,-10.0,-1.0,-100.0,461.76387069094926,-0.011636099947104983,0.00040645927676038806,0.999932215687082,8.070231080999303,-0.66875640923106,265.649177850486,-22.303322809019754,-89.964599609375,6438.521484375
