Timestamp,Input Throttle,horizon,dT,dt,Input Roll,Roll P,Roll I,Roll D,Input Pitch,Pitch P,Pitch I,Pitch D,Input Yaw,Yaw P,Yaw I,Yaw D,Altitude,Direction X,Direction Y,Direction Z,Drag X,Drag Y,Drag Z,Vertical Velocity,Roll,Mass
1594283844.3981123,0.0,10.0,0.5,0.5,0.019260253906250004,-0.14,-0.011,-0.56,-0.009735811190476997,10.0,1.0,100.0,0.0460278221117464,-10.0,-1.0,-100.0,12466.682058600243,-0.00131140532481458,-0.0007468288727737397,0.999998861230706,28.220158785628357,1.3495357681666622,126.37726407434957,-30.14815696796295,-90.12213134765625,5625.0322265625
1594283844.4350593,0.0,10.0,0.5,0.5,0.0182741455078125,-0.14,-0.011,-0.56,-0.008202904239272042,10.0,1.0,100.0,0.02265262897011236,-10.0,-1.0,-100.0,12465.47795741458,-0.0013969274629008082,-0.0007528282602669876,0.9999987409208443,28.41261982929383,1.3589812128996872,128.84922370528687,-30.5219970092421,-90.12361907958984,5625.0322265625
1594283844.4933722,0.0,10.0,0.5,0.5,0.018127075958251953,-0.14,-0.011,-0.56,-0.008175873248805761,10.0,1.0,100.0,0.023039248014220227,-10.0,-1.0,-100.0,12464.248465493787,-0.001476919645686632,-0.0007573521232927314,0.9999986225621122,28.605376139222784,1.368445831735094,131.3453634883328,-30.895819565365674,-90.12440490722656,5625.0322265625
1594283844.52662,0.0,10.0,0.5,0.5,0.015564794158935549,-0.14,-0.011,-0.56,-0.008054272684625021,10.0,1.0,100.0,0.02391069307455221,-10.0,-1.0,-100.0,12462.990653682384,-0.001556219385453411,-0.000759670764438771,0.9999985005396529,28.797535179945577,1.3778868680848904,133.86161532570745,-31.269624303269254,-90.12117767333984,5625.0322265625
1594283844.5608177,0.0,10.0,0.5,0.5,0.011967163085937501,-0.14,-0.011,-0.56,-0.008071471877430623,10.0,1.0,100.0,0.02483570125575511,-10.0,-1.0,-100.0,12461.718192610424,-0.0016353044783564605,-0.0007612443665384591,0.9999983731418154,28.98850165869513,1.3872755774898509,136.39510481784066,-31.643411378377216,-90.11326599121094,5625.0322265625
1594283844.6040814,0.0,10.0,0.5,0.5,0.007710346984863282,-0.14,-0.011,-0.56,-0.007848634152482157,10.0,1.0,100.0,0.02515522739594785,-10.0,-1.0,-100.0,12460.443779071327,-0.0017086181600170247,-0.0007599570760690636,0.9999982515430844,29.178330830845546,1.3966143193048126,138.94591999327096,-32.017180717199686,-90.10067749023438,5625.0322265625
1594283844.6344335,0.0,10.0,0.5,0.5,0.00320149383544922,-0.14,-0.011,-0.56,-0.007644564129014276,10.0,1.0,100.0,0.02564228378351364,-10.0,-1.0,-100.0,12459.169365474721,-0.0017781414576317565,-0.0007562407599052969,0.9999981331546922,29.367142908104697,1.405908595593121,141.51447707299403,-32.390932277046176,-90.0840072631836,5625.0322265625
1594283844.6941683,0.0,10.0,0.5,0.5,-0.0012455879211425783,-0.14,-0.011,-0.56,-0.007438788863971589,10.0,1.0,100.0,0.026149476601812445,-10.0,-1.0,-100.0,12457.870537453331,-0.0018443388070318366,-0.0007503041148379343,0.9999980177270853,29.555000476256584,1.4151611767081094,144.10093685269536,-32.76466570806185,-90.0641860961914,5625.0322265625
1594283844.7312686,0.0,10.0,0.5,0.5,-0.005391902160644532,-0.14,-0.011,-0.56,-0.007183972556106936,10.0,1.0,100.0,0.02658425110255085,-10.0,-1.0,-100.0,12456.52776466601,-0.001906794039395866,-0.0007419085582371643,0.9999979068519007,29.742087387886546,1.4243806893013777,146.7060733602542,-33.1383810410712,-90.04230499267578,5625.0322265625
1594283844.760583,0.0,10.0,0.5,0.5,-0.009001525115966798,-0.14,-0.011,-0.56,-0.006948080088047231,10.0,1.0,100.0,0.026967521501468333,-10.0,-1.0,-100.0,12455.209405281697,-0.001965322350590237,-0.000731457294746615,0.9999978012367248,29.928624692414914,1.4335776636967636,149.33089083908297,-33.51207798734293,-90.01957702636719,5625.0322265625
