Timestamp,Input Throttle,horizon,dT,dt,Input Roll,Roll P,Roll I,Roll D,Input Pitch,Pitch P,Pitch I,Pitch D,Input Yaw,Yaw P,Yaw I,Yaw D,Altitude,Direction X,Direction Y,Direction Z,Vertical Velocity,Roll,Mass
1594013117.5013397,0.0,5.0,0.5,0.5,0.02195558166503906,-0.004,-0.0002,-0.006,-0.008214046078525765,2.0,0.5,10.0,-0.0038052066385687797,-2.0,-0.5,-10.0,475.4902577964822,0.0017922842457686198,-0.003291158845364192,0.9999929779706641,-13.582830672785542,-90.47945404052734,3893.01171875
1594013117.5332851,0.0,5.0,0.5,0.5,0.022052505950927736,-0.004,-0.0002,-0.006,-0.007346122338668316,2.0,0.5,10.0,-0.003789600881194405,-2.0,-0.5,-10.0,474.94246773887426,0.0018019024272160143,-0.0033410960708368355,0.9999927950863887,-13.970942453786614,-90.48196411132812,3893.01171875
1594013117.5671635,0.0,5.0,0.5,0.5,0.022164327239990237,-0.004,-0.0002,-0.006,-0.007637102650454752,2.0,0.5,10.0,-0.003911666593696869,-2.0,-0.5,-10.0,474.39431162260007,0.0018125817943506484,-0.0033930375510844214,0.9999926008943344,-14.358980585988292,-90.48368835449219,3893.01171875
1594013117.6379552,0.0,5.0,0.5,0.5,0.022231078033447267,-0.004,-0.0002,-0.006,-0.007954630677024701,2.0,0.5,10.0,-0.004063735727951943,-2.0,-0.5,-10.0,473.8631587495329,0.0018266012706743052,-0.003448645130375387,0.9999923851582885,-13.286966582593172,-90.48043060302734,3890.853515625
1594013117.6678824,0.0,5.0,0.5,0.5,0.022193988647460937,-0.004,-0.0002,-0.006,-0.008579411434569608,2.0,0.5,10.0,-0.0042346954637088735,-2.0,-0.5,-10.0,473.16329739103094,0.0018449199736292872,-0.0035326804882033695,0.9999920581878933,-11.620125063057584,-90.46380615234375,3887.53076171875
1594013117.7366548,0.0,5.0,0.5,0.5,0.022211895141601563,-0.004,-0.0002,-0.006,-0.008596378511816903,2.0,0.5,10.0,-0.004299375118113369,-2.0,-0.5,-10.0,472.7484286116669,0.0018578883640686915,-0.0035894043741297823,0.9999918321801763,-10.488875964729912,-90.44469451904297,3885.287109375
1594013117.7735562,0.0,5.0,0.5,0.5,0.022027057342529296,-0.004,-0.0002,-0.006,-0.009227041404407232,2.0,0.5,10.0,-0.004489864512041277,-2.0,-0.5,-10.0,472.18105047312565,0.0018768282707452345,-0.0036742736685587796,0.999991488578103,-8.928622534662615,-90.40385437011719,3882.12548828125
1594013117.8044736,0.0,5.0,0.5,0.5,0.0220266291809082,-0.004,-0.0002,-0.006,-0.00923291457004827,2.0,0.5,10.0,-0.004543081964182487,-2.0,-0.5,-10.0,471.8776302675251,0.0018892261961926827,-0.0037301780374340357,0.9999912582598852,-7.944661976209685,-90.36849975585938,3880.1015625
1594013117.8718789,0.0,5.0,0.5,0.5,0.021927044219970705,-0.004,-0.0002,-0.006,-0.009518704836588562,2.0,0.5,10.0,-0.004652302146016401,-2.0,-0.5,-10.0,471.6178570528282,0.0019007877067342461,-0.0037850384585524648,0.999991030204752,-7.02273674926246,-90.32659149169922,3878.169921875
1594013117.911774,0.0,5.0,0.5,0.5,0.021534445800781253,-0.004,-0.0002,-0.006,-0.010106869829695768,2.0,0.5,10.0,-0.004817654819581135,-2.0,-0.5,-10.0,471.25114651117474,0.0019162817395378842,-0.0038639982319994544,0.9999906986477213,-5.796391025570228,-90.25153350830078,3875.50390625
1594013118.0501957,0.0,5.0,0.5,0.5,0.02150785415649414,-0.004,-0.0002,-0.006,-0.01011577032024212,2.0,0.5,10.0,-0.004867214479905509,-2.0,-0.5,-10.0,471.05956955475267,0.0019253388979865393,-0.003914439758117477,0.9999904850704872,-5.015083020526985,-90.1933364868164,3873.781005859375
1594013118.0751252,0.0,5.0,0.5,0.5,0.02085705123901367,-0.004,-0.0002,-0.006,-0.010488096646307779,2.0,0.5,10.0,-0.004908683826292611,-2.0,-0.5,-10.0,470.8172664983431,0.0019357879145084356,-0.003984904553251496,0.9999901865822741,-3.954392903345034,-90.09391021728516,3871.361328125
1594013118.1196835,0.0,5.0,0.5,0.5,0.02070274475097656,-0.004,-0.0002,-0.006,-0.010335720360280477,2.0,0.5,10.0,-0.004870766786235225,-2.0,-0.5,-10.0,470.693869874347,0.0019407778187415152,-0.004028244656684175,0.9999900032632548,-3.2927462748976932,-90.01959991455078,3869.81591796875
1594013118.1533234,0.0,5.0,0.5,0.5,0.020332363739013672,-0.004,-0.0002,-0.006,-0.010416874410831865,2.0,0.5,10.0,-0.004868837938586576,-2.0,-0.5,-10.0,470.59550127841067,0.0019442411848633989,-0.004068477550817358,0.9999898336566394,-2.6749976548113534,-89.93890380859375,3868.335205078125
1594013118.220971,0.0,5.0,0.5,0.5,0.01993656921386719,-0.004,-0.0002,-0.006,-0.010487475987480392,2.0,0.5,10.0,-0.004856049762395936,-2.0,-0.5,-10.0,470.51999751629774,0.0019455714756399607,-0.004105305792230546,0.9999896805547472,-2.11752733826597,-89.85198974609375,3866.943603515625
1594013118.2577875,0.0,5.0,0.5,0.5,0.019026139526367187,-0.004,-0.0002,-0.006,-0.010740180058011582,2.0,0.5,10.0,-0.004833646410936085,-2.0,-0.5,-10.0,470.44607337599155,0.0019443937240737302,-0.004154668727185689,0.9999894789750606,-1.3557100019027961,-89.71002197265625,3864.96630859375
