Timestamp,Input Throttle,horizon,dT,dt,Input Roll,Roll P,Roll I,Roll D,Input Pitch,Pitch P,Pitch I,Pitch D,Input Yaw,Yaw P,Yaw I,Yaw D,Altitude,Direction X,Direction Y,Direction Z,Vertical Velocity,Roll,Mass
1594012920.6733189,0.0,5.0,0.5,0.5,0.002740276336669922,-0.0005,0.0,0.0,-0.008326266709345534,2.0,0.5,10.0,-0.003871968745229025,-2.0,-0.5,-10.0,474.94246765668504,0.0018030578165673943,-0.003310756765410043,0.9999928939108269,-13.971369886303362,-90.48055267333984,3893.01171875
1594012920.7032063,0.0,5.0,0.5,0.5,0.002742301940917969,-0.0005,0.0,0.0,-0.0077450579575818026,2.0,0.5,10.0,-0.003899351205271002,-2.0,-0.5,-10.0,474.1090329706203,0.001819981373343048,-0.0033905906477843108,0.9999925957540186,-14.553398725241028,-90.48460388183594,3893.01171875
1594012920.7753656,0.0,5.0,0.5,0.5,0.0027437210083007812,-0.0005,0.0,0.0,-0.007786664999940998,2.0,0.5,10.0,-0.00397573888801116,-2.0,-0.5,-10.0,473.5378363180207,0.001832866721828843,-0.003446458675593699,0.999992381232066,-14.941323489347187,-90.48744201660156,3893.01171875
1594012920.81526,0.0,5.0,0.5,0.5,0.0027454452514648437,-0.0005,0.0,0.0,-0.008482336946752628,2.0,0.5,10.0,-0.004221646411040857,-2.0,-0.5,-10.0,472.7221683692187,0.0018564598611451935,-0.003536627783187518,0.9999920228785363,-13.26798632747931,-90.49089050292969,3889.67822265625
1594012920.8471744,0.0,5.0,0.5,0.5,0.0027461738586425782,-0.0005,0.0,0.0,-0.008484656578304682,2.0,0.5,10.0,-0.004255614951684344,-2.0,-0.5,-10.0,472.2416013858747,0.001871216272874338,-0.0035972260597150903,0.9999917792233771,-12.122730063766854,-90.49234771728516,3887.4130859375
1594012920.884077,0.0,5.0,0.5,0.5,0.0027465667724609374,-0.0005,0.0,0.0,-0.008795905081323777,2.0,0.5,10.0,-0.004386275994604481,-2.0,-0.5,-10.0,471.80367156257853,0.00188660496842166,-0.003658673556824179,0.9999915273788562,-10.947730267604587,-90.49313354492188,3885.10546875
1594012920.961928,0.0,5.0,0.5,0.5,0.0027465972900390626,-0.0005,0.0,0.0,-0.009094764372280677,2.0,0.5,10.0,-0.004510689157829663,-2.0,-0.5,-10.0,471.4105807506712,0.00190193579094477,-0.003719540272174727,0.999991273792132,-9.86220868675383,-90.49319458007812,3882.9306640625
1594012920.9918475,0.0,5.0,0.5,0.5,0.0027459640502929686,-0.0005,0.0,0.0,-0.009766048344438456,2.0,0.5,10.0,-0.004717955099382822,-2.0,-0.5,-10.0,470.90887148329057,0.0019240589057145216,-0.003810704781512604,0.9999908882216856,-8.359180237115144,-90.49192810058594,3879.8544921875
1594012921.0267553,0.0,5.0,0.5,0.5,0.002745063781738281,-0.0005,0.0,0.0,-0.009763168491908666,2.0,0.5,10.0,-0.004765725942247801,-2.0,-0.5,-10.0,470.62883434363175,0.0019384588261542523,-0.003870557281660383,0.9999906305379608,-7.3997668916425745,-90.49012756347656,3877.867919921875
1594012921.0636563,0.0,5.0,0.5,0.5,0.002743766784667969,-0.0005,0.0,0.0,-0.01005896662776622,2.0,0.5,10.0,-0.00487915073264575,-2.0,-0.5,-10.0,470.36924878682476,0.001951833913944881,-0.003928956887764744,0.99999037677477,-6.499763965050702,-90.48753356933594,3875.96923828125
1594012921.137329,0.0,5.0,0.5,0.5,0.0027420768737792967,-0.0005,0.0,0.0,-0.010343504152594843,2.0,0.5,10.0,-0.004989880004090317,-2.0,-0.5,-10.0,470.1327017879812,0.001964074618416015,-0.00398496403288841,0.9999901311875782,-5.683449120613869,-90.4841537475586,3874.19482421875
1594012921.2560117,0.0,5.0,0.5,0.5,0.0027387657165527345,-0.0005,0.0,0.0,-0.01077394124370877,2.0,0.5,10.0,-0.005066151483924675,-2.0,-0.5,-10.0,469.85493747494183,0.001979960258787121,-0.004064697214469799,0.9999897789447292,-4.564161430319439,-90.47753143310547,3871.688720703125
1594012921.2839465,0.0,5.0,0.5,0.5,0.0027360496520996095,-0.0005,0.0,0.0,-0.010608269433268997,2.0,0.5,10.0,-0.005017954318893574,-2.0,-0.5,-10.0,469.70022962987423,0.0019885152833211002,-0.0041145267708897855,0.9999895581836941,-3.851258239077639,-90.47209930419922,3870.06787109375
1594012921.3258247,0.0,5.0,0.5,0.5,0.00273291015625,-0.0005,0.0,0.0,-0.010699853876541533,2.0,0.5,10.0,-0.005022267377550454,-2.0,-0.5,-10.0,469.5808871288318,0.0019953553563146053,-0.004160899821115419,0.9999893526781577,-3.1839551217578186,-90.4658203125,3868.51416015625
1594012921.3909726,0.0,5.0,0.5,0.5,0.002729347229003906,-0.0005,0.0,0.0,-0.010785628017314959,2.0,0.5,10.0,-0.005022128473178106,-2.0,-0.5,-10.0,469.48672805924434,0.0020004651105482913,-0.004204090741209866,0.9999891618214576,-2.579738198003932,-90.45869445800781,3867.053955078125
1594012921.4250355,0.0,5.0,0.5,0.5,0.002723209381103516,-0.0005,0.0,0.0,-0.011087904627740171,2.0,0.5,10.0,-0.005028599053141871,-2.0,-0.5,-10.0,469.38773506879807,0.002004723917249702,-0.004262744289317778,0.99998890498502,-1.7533085734422273,-90.44641876220703,3864.98193359375
