Timestamp,Input Throttle,horizon,dT,dt,Input Roll,Roll P,Roll I,Roll D,Input Pitch,Pitch P,Pitch I,Pitch D,Input Yaw,Yaw P,Yaw I,Yaw D,Altitude,Direction X,Direction Y,Direction Z,Drag X,Drag Y,Drag Z,Vertical Velocity,Roll,Mass,Has Fuel
1599385159.0670178,0.0,10,0.5,0.5,-0.05497857666015625,-0.001,-0.02275,-0.5,-0.00015592879825537895,10,1,100,0.49807213638548803,-10,-1,-100,19351.09416316857,-0.048844067799175925,-0.0001754045129130403,0.9988064007975151,60.98684636633528,3.6807006253210344,232.75528694279305,-68.48187453763825,-33.92279052734375,4761.76025390625,True
1599385159.08497,0.0,10,0.5,0.5,-0.18307186737060546,-0.001,-0.02275,-0.5,-0.0008421427237375506,10,1,100,0.4989406494989153,-10,-1,-100,19349.720876564737,-0.048895118387605366,-0.00016695503239772978,0.9988039044396448,61.07651819405286,3.686783202900897,233.74202114378414,-68.66433456553723,-33.9239501953125,4761.76025390625,True
1599385159.1193357,0.0,10,0.5,0.5,-0.3100015701293945,-0.001,-0.02275,-0.5,0.00025279471186356287,10,1,100,0.5104892566846878,-10,-1,-100,19346.9633555942,-0.04900206524387769,-0.00014916793248525762,0.9987986660737802,61.25666878983985,3.699008242012926,235.72480102401397,-69.029244511741,-33.9263916015625,4761.76025390625,True
1599385159.1918814,0.0,10,0.5,0.5,-0.43169549407958985,-0.001,-0.02275,-0.5,0.021793264155280642,10,1,100,0.503088049016968,-10,-1,-100,19344.191238706,-0.04898745862056065,6.296021504122256e-05,0.9987993917368543,61.43626996658526,3.7112150060174027,237.71376833392594,-69.39414068064235,-33.9405517578125,4761.76025390625,True
1599385159.2168174,0.0,10,0.5,0.5,-0.527109034729004,-0.001,-0.02275,-0.5,0.028975506578509953,10,1,100,0.5052162222866297,-10,-1,-100,19341.40452612983,-0.04894899284852339,0.00032103986189916083,0.9988012279890941,61.60890950142803,3.7230164673882817,239.68394409442513,-69.75902307256165,-34.018798828125,4761.76025390625,True
1599385159.2417476,0.0,10,0.5,0.5,-0.6553359573364257,-0.001,-0.02275,-0.5,0.022371197557177265,10,1,100,0.5081531606468317,-10,-1,-100,19340.005696871434,-0.0488962243200836,0.0004953266953379901,0.998803741432072,61.693105571148536,3.728794115373733,240.66374398641793,-69.9414591621782,-34.09515380859375,4761.76025390625,True
1599385159.2636921,0.0,10,0.5,0.5,-0.7675819213867189,-0.001,-0.02275,-0.5,0.02836241791313215,10,1,100,0.5099062669643588,-10,-1,-100,19338.603218784207,-0.048819739147733965,0.0007077846137952993,0.9988073548540218,61.77646078303604,3.7345236322618613,241.64220352790048,-70.12389165005774,-34.201171875,4761.76025390625,True
1599385159.307717,0.0,10,0.5,0.5,-0.8769119812011718,-0.001,-0.02275,-0.5,0.034698887939915705,10,1,100,0.5111325578692345,-10,-1,-100,19337.197092325892,-0.0487169736909625,0.0009578890084419807,0.9988121639843207,61.85901958394233,3.740206953471989,242.61946774279386,-70.30632051913331,-34.342132568359375,4761.76025390625,True
1599385159.3455718,0.0,10,0.5,0.5,-0.9819876396179197,-0.001,-0.02275,-0.5,0.041550083893981085,10,1,100,0.5122822407454926,-10,-1,-100,19335.787317383336,-0.04858971405305355,0.0012466694313318836,0.998818044242079,61.94113034014978,3.7458640657632616,243.5968764710756,-70.48874571819852,-34.52581787109375,4761.76025390625,True
1599385159.3774867,0.0,10,0.5,0.5,-0.7631421180725098,-0.001,-0.02275,-0.5,0.13222814057017088,10,1,100,0.46984272060238214,-10,-1,-100,19331.53610224568,-0.04804403718633254,0.0023324097224414007,0.9988424952692616,62.19029219859113,3.7629963134025277,246.55167049239438,-71.03599838030796,-35.397857666015625,4761.76025390625,True
1599385159.4113965,0.0,10,0.5,0.5,-1.114866325378418,-0.001,-0.02275,-0.5,0.07164813657446384,10,1,100,0.5029496626045206,-10,-1,-100,19330.111734010046,-0.04780526311007258,0.002766598669195951,0.9988528433912477,62.27482630166162,3.7687864659356083,247.54628985712523,-71.2184078582763,-35.814056396484375,4761.76025390625,True
1599385159.4443078,0.0,10,0.5,0.5,-0.8003708549499511,-0.001,-0.02275,-0.5,0.13371472178012261,10,1,100,0.4636232817560717,-10,-1,-100,19327.252053262782,-0.047231627582749534,0.003722883028858705,0.9988770262138568,62.44557560851402,3.780437484960061,249.54801112436763,-71.58321394147274,-36.84857177734375,4761.76025390625,True
1599385159.4782171,0.0,10,0.5,0.5,-1.007176508331299,-0.001,-0.02275,-0.5,0.09574823173555358,10,1,100,0.4838372246182768,-10,-1,-100,19325.816740939394,-0.046895416121025775,0.00424354632081853,0.9988907909583805,62.529325554352454,3.7861433608261312,250.54526126546395,-71.76561052924562,-37.4549560546875,4761.76025390625,True
1599385159.5081375,0.0,10,0.5,0.5,-0.59623511428833,-0.001,-0.02275,-0.5,0.17056201301379303,10,1,100,0.4335556094145896,-10,-1,-100,19322.935172752943,-0.046134578880445976,0.005393008493990271,0.9989206755748465,62.687599788560235,3.796939168783415,252.50827747265083,-72.13039047250564,-38.864349365234375,4761.76025390625,True
1599385159.5410497,0.0,10,0.5,0.5,-0.8909544342041016,-0.001,-0.02275,-0.5,0.12303867494347881,10,1,100,0.46153797525739815,-10,-1,-100,19321.4889173446,-0.04569988733279907,0.006001098261435407,0.9989371887748628,62.760088023697875,3.8018991280510996,253.46561812017362,-72.31277396122091,-39.660308837890625,4761.76025390625,True
1599385159.5745733,0.0,10,0.5,0.5,0.12141933822631845,-0.001,-0.02275,-0.5,0.2815939545205399,10,1,100,0.33860532998525983,-10,-1,-100,19317.128265358857,-0.04419009742838764,0.0079901550839956,0.9989911875041757,62.9343149675507,3.813977968825474,256.17153293755405,-72.85989951404026,-42.44976806640625,4761.76025390625,True
1599385159.6105978,0.0,10,0.5,0.5,-0.16909912185668952,-0.001,-0.02275,-0.5,0.2424114182141397,10,1,100,0.3586381149371047,-10,-1,-100,19314.20292711002,-0.043003955675659206,0.009435370203184265,0.9990303466789058,62.99785811543454,3.818656839418341,257.7669553997838,-73.2246315161,-44.6158447265625,4761.76025390625,True
1599385159.6415167,0.0,10,0.5,0.5,-1.2284440711975098,-0.001,-0.02275,-0.5,0.09876266485421205,10,1,100,0.4766707118627409,-10,-1,-100,19314.20292711002,-0.043003955675659206,0.009435370203184265,0.9990303466789058,62.99785811543454,3.818656839418341,257.7669553997838,-73.2246315161,-44.6158447265625,4761.76025390625,True
1599385159.6753397,0.0,10,0.5,0.5,0.5078660934448245,-0.001,-0.02275,-0.5,0.34014259016650533,10,1,100,0.24812433236865142,-10,-1,-100,19309.78756560525,-0.040931454969363214,0.01162202635948262,0.9990943621587456,62.98043872380578,3.8185108695765333,259.7012571397939,-73.77170853126675,-48.034881591796875,4761.76025390625,True
1599385159.708256,0.0,10,0.5,0.5,0.05603234939575197,-0.001,-0.02275,-0.5,0.29878839482065667,10,1,100,0.28180446996022956,-10,-1,-100,19306.8257559092,-0.03936050854091183,0.013224516219402363,0.9991375593671591,62.88491290912244,3.813102243126079,260.6431272901662,-74.1364175677691,-50.48388671875,4761.76025390625,True
1599385159.743841,0.0,10,0.5,0.5,-1.1341494979858397,-0.001,-0.02275,-0.5,0.13962861947837843,10,1,100,0.43803075994082574,-10,-1,-100,19306.8257559092,-0.03936050854091183,0.013224516219402363,0.9991375593671591,62.88491290912244,3.813102243126079,260.6431272901662,-74.1364175677691,-50.48388671875,4761.76025390625,True
1599385159.7752051,0.0,10,0.5,0.5,-0.46958718795776355,-0.001,-0.02275,-0.5,0.22077913940393834,10,1,100,0.3447697173205484,-10,-1,-100,19305.33938028547,-0.03852035793033582,0.01395274102095272,0.9991603990565884,62.807043188314324,3.8085030315622457,260.9876914761226,-74.3187708781092,-51.743743896484375,4761.76025390625,True
1599385159.808154,0.0,10,0.5,0.5,0.16924216918945323,-0.001,-0.02275,-0.5,0.31495234424237395,10,1,100,0.23079018350515063,-10,-1,-100,19302.35568810266,-0.03672832640390166,0.015461583740900555,0.9992056692532281,62.597303852555605,3.795899965149158,261.44688167910704,-74.68347760225465,-54.20855712890625,4761.76025390625,True
1599385159.8416026,0.0,10,0.5,0.5,0.9605416702270508,-0.001,-0.02275,-0.5,0.42592922696218605,10,1,100,0.0797751209527745,-10,-1,-100,19297.852796536987,-0.03373558543822821,0.017831941477014987,0.9992717008593309,62.14146285789731,3.7681435796992364,261.52610896319845,-75.23054457356395,-58.17181396484375,4761.76025390625,True
1599385159.877334,0.0,10,0.5,0.5,0.4397130699157714,-0.001,-0.02275,-0.5,0.3550416185233741,10,1,100,0.13972732766115276,-10,-1,-100,19294.832632735022,-0.03157120370627598,0.019331071221327066,0.9993145494697717,61.71462697906086,3.742014733835332,261.043908775527,-75.59526760877736,-60.999908447265625,4761.76025390625,True
1599385159.9084086,0.0,10,0.5,0.5,0.42693482284545914,-0.001,-0.02275,-0.5,0.3585390945852099,10,1,100,0.10603229305629508,-10,-1,-100,19291.797879893216,-0.02931010971139027,0.02071359352311847,0.9993557247107084,61.205540990831,3.7107983197676964,260.19489714497047,-75.9600051551832,-63.699951171875,4761.76025390625,True
1599385159.9413984,0.0,10,0.5,0.5,-0.23456381454467778,-0.001,-0.02275,-0.5,0.2975501341344954,10,1,100,0.2004436216413441,-10,-1,-100,19290.275032004225,-0.02812638178291916,0.021404420122068595,0.9993751835257065,60.936494014545474,3.6942873005405255,259.7008281092447,-76.14237993749572,-64.97775268554688,4761.76025390625,True
1599385159.9754531,0.0,10,0.5,0.5,-0.8271412307739257,-0.001,-0.02275,-0.5,0.22966437923137137,10,1,100,0.3173286570991813,-10,-1,-100,19290.275032004225,-0.02812638178291916,0.021404420122068595,0.9993751835257065,60.936494014545474,3.6942873005405255,259.7008281092447,-76.14237993749572,-64.97775268554688,4761.76025390625,True
1599385160.011369,0.0,10,0.5,0.5,0.4465006217956543,-0.001,-0.02275,-0.5,0.3722132940105418,10,1,100,0.04788081699181504,-10,-1,-100,19287.21839367354,-0.0256903810309365,0.02268943839286207,0.9994124242313089,60.373321189020324,3.6597236423638004,258.5888195049416,-76.50714220169408,-67.427490234375,4761.76025390625,True
1599385160.0417948,0.0,10,0.5,0.5,0.4780850234985351,-0.001,-0.02275,-0.5,0.3770324829011113,10,1,100,0.009322368221439392,-10,-1,-100,19284.14716434793,-0.023139159062074695,0.023891386345285513,0.9994467374384691,59.77452866791814,3.6230013825727307,257.3004335579335,-76.8719217105372,-69.84732055664062,4761.76025390625,True
1599385160.076435,0.0,10,0.5,0.5,1.2525417121887208,-0.001,-0.02275,-0.5,0.4358767243137256,10,1,100,-0.17857098482812667,-10,-1,-100,19279.51296051161,-0.019126491653094123,0.02550931679657979,0.9994915967999011,58.7349497556562,3.559415480950322,254.70857128645324,-77.41912865369747,-73.72021484375,4761.76025390625,True
1599385160.1087334,0.0,10,0.5,0.5,-0.6310427848815917,-0.001,-0.02275,-0.5,0.27531215924201574,10,1,100,0.2206723543811488,-10,-1,-100,19279.51296051161,-0.019126491653094123,0.02550931679657979,0.9994915967999011,58.7349497556562,3.559415480950322,254.70857128645324,-77.41912865369747,-73.72021484375,4761.76025390625,True
1599385160.1447394,0.0,10,0.5,0.5,0.6980570800781251,-0.001,-0.02275,-0.5,0.3767357558208906,10,1,100,-0.08202238441665322,-10,-1,-100,19276.40525029821,-0.016392352087911597,0.026420843514773536,0.9995164980234161,57.95040918932997,3.511571379834005,252.54611430438214,-77.78396284771209,-76.2733154296875,4761.76025390625,True
1599385160.1756968,0.0,10,0.5,0.5,0.07641147918701174,-0.001,-0.02275,-0.5,0.3298038195433871,10,1,100,0.040505539414979225,-10,-1,-100,19274.84592227603,-0.015039148131047769,0.026812887238087026,0.9995273348445504,57.54872282953094,3.487116531249138,251.41149362044695,-77.96638905000829,-77.48031616210938,4761.76025390625,True
